loan_amount,annual_income,employment_status,credit_score,loan_purpose,gender,lender_1,lender_2,lender_3,lender_4,lender_5,lender_6,lender_7,lender_8,lender_9,lender_10,lender_11,lender_12,lender_13,lender_14,lender_15
712240,52449,student,707,emergency,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398222,38307,student,769,emergency,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212865,191195,self-employed,691,gold-backed,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284792,104566,self-employed,559,vehicle,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349853,28807,student,727,education,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
958861,183258,self-employed,758,emergency,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35416,48741,salaried,684,emergency,female,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
913786,52408,self-employed,551,home,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
759046,51549,freelancer,609,emergency,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373123,78709,self-employed,516,startup,female,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
201513,103927,self-employed,797,home,male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
458681,68708,self-employed,639,home,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811515,37335,student,761,emergency,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
987387,43881,salaried,631,emergency,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740043,96386,salaried,614,startup,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53264,135980,freelancer,588,emergency,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617414,176641,salaried,544,eco,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390233,127692,student,732,gold-backed,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419931,96994,self-employed,623,emergency,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502713,77203,student,598,eco,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
853486,134062,freelancer,681,startup,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179012,78652,salaried,764,emergency,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815281,196035,salaried,710,home,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827711,7180,freelancer,522,business,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818063,163113,student,564,eco,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111748,61971,student,593,eco,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694282,22273,self-employed,603,home,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407381,148334,salaried,515,eco,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666628,22769,self-employed,577,gold-backed,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
857342,147480,student,743,business,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432302,134220,student,562,eco,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613806,25061,freelancer,784,eco,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6162,93719,self-employed,633,gold-backed,male,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
470787,74993,self-employed,563,business,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26353,95818,student,688,emergency,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81557,116416,freelancer,590,education,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
754663,30549,salaried,564,business,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452471,17190,freelancer,779,home,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920305,184205,freelancer,730,business,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385808,193188,salaried,772,startup,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208113,160123,salaried,747,home,male,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
344839,74693,freelancer,653,emergency,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509592,113577,student,532,business,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301557,59903,student,601,vehicle,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
591238,60249,self-employed,521,startup,female,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
355073,27607,freelancer,686,eco,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570734,69789,student,530,startup,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458674,96390,salaried,625,eco,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490599,47131,salaried,694,education,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750049,160266,self-employed,652,vehicle,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870193,149551,student,754,home,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
991639,38813,freelancer,773,eco,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
653440,173989,freelancer,678,business,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
581092,69369,freelancer,726,home,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257172,12926,salaried,624,eco,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396748,55744,salaried,625,home,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
969650,18174,student,555,startup,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370685,177416,freelancer,560,education,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
845904,182178,self-employed,531,business,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96006,30848,self-employed,748,home,female,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
487967,141836,freelancer,741,startup,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198268,51633,student,730,business,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99055,33973,student,775,emergency,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705706,124081,student,503,eco,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530070,56740,self-employed,781,education,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310957,64026,self-employed,511,education,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159122,42410,self-employed,709,home,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133650,110594,self-employed,693,business,female,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16723,104257,student,680,startup,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872932,6114,salaried,521,eco,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944128,127348,student,683,emergency,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637008,134273,self-employed,529,eco,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549336,4954,salaried,792,startup,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
654569,118600,student,589,home,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225577,24493,self-employed,580,emergency,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
847361,190326,student,645,eco,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
673260,141001,freelancer,788,vehicle,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467800,110311,self-employed,733,gold-backed,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90933,181728,freelancer,796,vehicle,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192288,11486,self-employed,661,eco,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
824955,51292,self-employed,573,emergency,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
983425,79831,salaried,575,business,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395168,110715,salaried,724,education,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103939,178659,freelancer,563,eco,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270347,109104,student,535,vehicle,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352677,86395,student,758,gold-backed,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375466,4560,salaried,573,education,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541788,47869,freelancer,729,home,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35360,132254,salaried,602,home,female,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28011,159632,self-employed,564,startup,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353264,150470,self-employed,599,emergency,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31651,168601,student,590,emergency,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836175,92512,salaried,680,startup,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291820,54215,student,528,startup,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352966,142160,salaried,777,vehicle,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385266,15172,self-employed,785,business,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465200,135007,freelancer,535,education,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815923,144500,freelancer,656,gold-backed,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
757585,183959,freelancer,581,gold-backed,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890788,196570,salaried,708,gold-backed,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
624037,127928,salaried,721,home,female,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
538806,16385,self-employed,700,vehicle,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390242,121221,freelancer,702,education,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228997,83797,student,735,eco,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
671855,80900,freelancer,640,emergency,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
783573,80144,freelancer,688,gold-backed,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
538891,60251,freelancer,625,gold-backed,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
846591,46496,self-employed,613,startup,male,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
172677,4803,self-employed,772,startup,male,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
174258,172178,salaried,623,gold-backed,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
806843,161737,self-employed,657,emergency,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52207,62612,freelancer,636,emergency,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
821295,24227,salaried,707,eco,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
738470,62196,freelancer,689,eco,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88858,49880,student,686,emergency,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
934427,147747,student,721,emergency,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592741,82799,freelancer,601,emergency,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832069,106388,freelancer,656,emergency,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
843073,42677,freelancer,773,vehicle,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602374,75654,salaried,530,emergency,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346151,169202,salaried,513,startup,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523642,189053,self-employed,792,emergency,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791345,158849,self-employed,531,gold-backed,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418180,178088,salaried,712,education,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697105,176281,self-employed,570,emergency,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306994,262,freelancer,576,home,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795311,116259,salaried,612,vehicle,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498018,170890,salaried,568,eco,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349062,169539,self-employed,794,vehicle,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485754,133900,freelancer,677,education,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117312,121673,self-employed,782,business,female,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
118904,70800,freelancer,773,home,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617737,195114,freelancer,760,startup,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488793,81249,freelancer,747,education,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430328,183513,self-employed,619,gold-backed,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271562,156441,salaried,668,startup,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850933,115696,salaried,606,gold-backed,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689495,186123,freelancer,523,gold-backed,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38937,116786,freelancer,707,home,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270043,76360,freelancer,759,home,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23741,51588,salaried,515,startup,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173904,119815,freelancer,644,emergency,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
958148,74045,salaried,667,gold-backed,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129637,33081,salaried,667,home,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73281,92927,self-employed,595,emergency,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665848,10574,freelancer,513,home,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
761057,160690,self-employed,753,home,male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
693748,20163,self-employed,789,education,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702700,171642,salaried,623,emergency,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184238,116402,self-employed,556,home,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
928948,55725,salaried,788,eco,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
763232,18955,self-employed,541,business,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362468,72804,self-employed,602,gold-backed,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
991857,29090,salaried,577,education,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319292,177701,self-employed,655,eco,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387471,97484,salaried,703,vehicle,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377712,133296,self-employed,669,startup,male,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
770081,190282,self-employed,564,emergency,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304749,188171,freelancer,555,business,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345497,68352,freelancer,513,emergency,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384666,35375,freelancer,522,gold-backed,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4174,3214,freelancer,764,eco,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
934603,125677,student,789,business,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823631,158675,student,524,startup,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87938,43457,student,538,home,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228839,162641,freelancer,614,business,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256950,44122,student,756,vehicle,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233770,108945,freelancer,600,home,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309779,27046,student,593,emergency,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441271,65793,salaried,705,emergency,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422387,125128,student,769,vehicle,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
924233,77223,self-employed,585,vehicle,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513026,22140,self-employed,797,startup,female,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
640192,7452,salaried,518,business,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381037,48512,salaried,638,vehicle,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807579,58205,salaried,746,home,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
804534,38592,student,509,emergency,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631418,83677,student,691,gold-backed,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346371,123261,salaried,636,emergency,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
869594,118962,freelancer,522,education,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
594489,129720,self-employed,793,vehicle,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
982610,181932,salaried,548,education,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
958375,70771,freelancer,676,vehicle,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
968074,158023,self-employed,761,gold-backed,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144621,171819,self-employed,710,business,female,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
695140,126625,self-employed,745,vehicle,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377161,62438,student,595,eco,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56250,90099,self-employed,661,emergency,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
978035,38839,freelancer,551,home,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496054,197068,student,649,emergency,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882770,81992,student,505,home,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580355,193126,self-employed,502,gold-backed,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39003,193868,salaried,502,gold-backed,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50482,143139,salaried,720,education,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
731961,62186,self-employed,672,education,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505265,169745,salaried,772,vehicle,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87794,35412,student,566,gold-backed,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
906082,150645,student,508,education,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
977837,6019,freelancer,783,eco,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259914,192310,self-employed,604,startup,male,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
557524,117013,self-employed,573,eco,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693821,1709,self-employed,748,business,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406583,84791,self-employed,582,vehicle,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720230,156095,salaried,670,education,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337462,612,freelancer,533,emergency,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
923438,94527,self-employed,795,vehicle,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504651,80170,student,704,gold-backed,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
981228,62066,student,706,home,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548170,163201,student,512,eco,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188764,13227,salaried,718,emergency,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338125,171041,student,591,emergency,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
782714,95079,self-employed,593,emergency,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678254,105275,salaried,749,business,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599305,38692,student,605,education,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
669789,147095,self-employed,596,gold-backed,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360493,60149,freelancer,783,business,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191421,178228,self-employed,674,emergency,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365462,28831,freelancer,517,business,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
898556,142516,salaried,558,home,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372842,104978,student,594,gold-backed,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151099,111331,student,708,education,female,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
453006,72849,student,620,emergency,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182384,125690,student,614,business,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184288,51352,salaried,503,gold-backed,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576082,116209,freelancer,661,emergency,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161119,13551,self-employed,619,eco,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
719732,111401,student,794,education,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603767,197851,salaried,703,business,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486108,1851,self-employed,509,gold-backed,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791282,22070,salaried,748,vehicle,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
527894,195770,self-employed,631,vehicle,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593089,107676,student,500,business,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
629886,150116,salaried,524,emergency,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357971,183868,self-employed,508,vehicle,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220529,106344,student,681,business,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220172,91626,student,747,education,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430838,94809,freelancer,777,eco,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110599,151509,freelancer,682,home,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266478,164211,freelancer,564,vehicle,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490061,2222,self-employed,737,education,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79797,149558,self-employed,570,vehicle,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361974,20331,freelancer,603,gold-backed,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510969,90752,salaried,556,eco,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
